name	label	maturity	harnesses	skills	permission	description
repo-scout	Repo Scout	stable	codex,claude-code,opencode	repo-onboarding,context-engineering,source-driven-development	read-only	Map repository structure, commands, conventions, relevant files, and risks without editing files.
code-reviewer	Code Reviewer	stable	codex,claude-code,opencode	code-review-and-quality,pull-request-prep,source-driven-development	read-only	Review code changes for correctness, regressions, maintainability, missing tests, and delivery risk without editing files.
security-reviewer	Security Reviewer	stable	codex,claude-code,opencode	security-review,dependency-environment-management,source-driven-development	read-only	Review code or design changes for authentication, authorization, secrets, input handling, data exposure, dependency risk, and unsafe defaults without editing files.
architecture-reviewer	Architecture Reviewer	stable	codex,claude-code,opencode	architecture-review,source-driven-development,documentation-and-adrs	read-only	Review architecture, module boundaries, coupling, data flow, dependency direction, scalability constraints, and design tradeoffs without editing files.
validation-runner	Validation Runner	stable	codex,claude-code,opencode	error-message-triage,debugging-and-error-recovery,pull-request-prep	validation-only	Run or review tests, lint, build, type checks, and targeted verification commands, then summarize failures without editing files.
release-reviewer	Release Reviewer	stable	codex,claude-code,opencode	release-readiness,pull-request-prep,documentation-and-adrs	read-only	Review release readiness, validation evidence, changelog state, versioning, migrations, rollback notes, documentation, and known risks without editing files.
azure-devops-pr-reviewer	Azure DevOps PR Reviewer	draft	codex,claude-code,opencode	azure-devops-pr-lifecycle,azure-boards-work-item-management,azure-pipelines-validation,code-review-and-quality,pull-request-prep	read-only	Inspect Azure Repos PR metadata, linked work items, branch policies, reviewer state, comments, and CI status without editing files.
bug-reproducer	Bug Reproducer	draft	codex,claude-code,opencode	error-message-triage,debugging-and-error-recovery,source-driven-development	validation-only	Isolate failing behavior, produce minimal reproduction steps, exact commands, observed output, and evidence without editing files.
test-strategist	Test Strategist	draft	codex,claude-code,opencode	test-driven-development,property-based-testing,api-contract-testing	read-only	Propose the smallest useful test strategy for features, bug fixes, refactors, and risky changes without editing files.
dependency-auditor	Dependency Auditor	draft	codex,claude-code,opencode	dependency-environment-management,security-review,source-driven-development	read-only	Inspect manifests, lockfiles, runtime versions, upgrade risk, dependency exposure, and environment drift without editing files.
ci-pipeline-reviewer	CI Pipeline Reviewer	draft	codex,claude-code,opencode	ci-cd-pipeline-maintenance,error-message-triage,release-readiness	validation-only	Inspect CI configuration, failed checks, caches, matrices, artifacts, and release gates without editing files.
api-contract-reviewer	API Contract Reviewer	draft	codex,claude-code,opencode	api-contract-testing,api-backend-development,source-driven-development	read-only	Review API, schema, OpenAPI, webhook, SDK, and consumer compatibility changes without editing files.
database-migration-reviewer	Database Migration Reviewer	draft	codex,claude-code,opencode	database-data-workflow-development,release-readiness,security-review	read-only	Review migrations, rollback paths, indexes, data backfills, destructive operations, and deploy ordering without editing files.
frontend-accessibility-reviewer	Frontend Accessibility Reviewer	draft	codex,claude-code,opencode	frontend-ui-development,code-review-and-quality,source-driven-development	read-only	Review UI changes for keyboard flow, semantics, focus, contrast, responsiveness, and screen-reader risk without editing files.
documentation-reviewer	Documentation Reviewer	draft	codex,claude-code,opencode	documentation-and-adrs,pull-request-prep,source-driven-development	read-only	Review README, docs, ADRs, examples, setup commands, and release notes for drift without editing files.
github-pr-reviewer	GitHub PR Reviewer	draft	codex,claude-code,opencode	github-pr-lifecycle,github-issues-management,github-actions-validation,code-review-and-quality,pull-request-prep	read-only	Inspect GitHub PR metadata, linked issues, branch protection, reviewer state, comments, and GitHub Actions status without editing files.
