id	label	maturity	mutation	manifest	keywords	description
agent-skill-development	Agent Skill Development	stable	workspace-write	references/workflow-manifests/agent-skill-development.json	create skill,revise skill,import skill,skill repository	Create or revise a reusable coding-agent skill with review and dry-run gates.
agent-skill-quality-loop	Agent Skill Quality Loop	draft	workspace-write	references/workflow-manifests/agent-skill-quality-loop.json	score skill,publish skill,skill quality,agent quality	Prepare skills, agents, bundles, and workflow templates for publication.
architecture-review	Architecture Review	stable	read-only	references/workflow-manifests/architecture-review.json	architecture,design review,refactor direction,module boundary,data flow	Assess architecture, boundaries, dependencies, data flow, and durable decisions.
azure-devops-pipeline-response	Azure DevOps Pipeline Response	draft	external-mutation	references/workflow-manifests/azure-devops-pipeline-response.json	azure pipeline,azure build,branch policy,azure ci	Diagnose Azure Pipelines and branch-policy failures with guarded updates.
azure-devops-pr-lifecycle	Azure DevOps PR Lifecycle	draft	external-mutation	references/workflow-manifests/azure-devops-pr-lifecycle.json	azure pull request,azure repos,auto-complete,azure pr	Operate an authorized Azure Repos pull-request lifecycle.
azure-devops-work-item-to-pr	Azure DevOps Work Item To PR	draft	external-mutation	references/workflow-manifests/azure-devops-work-item-to-pr.json	azure work item,azure boards,work item to pr	Turn an Azure Boards work item into implementation and a traceable PR.
backend-change-loop	Backend Change Loop	draft	workspace-write	references/workflow-manifests/backend-change-loop.json	backend,api,endpoint,server,webhook,service	Implement and independently review backend and API changes.
bug-diagnosis	Bug Diagnosis	stable	workspace-write	references/workflow-manifests/bug-diagnosis.json	bug,error,regression,test failure,runtime failure,build failure	Diagnose and fix a reproducible software failure.
bug-reproduction-loop	Bug Reproduction Loop	draft	validation-only	references/workflow-manifests/bug-reproduction-loop.json	reproduce bug,flaky,failing test,ci failure,runtime error	Establish reliable reproduction evidence before implementation.
data-change-loop	Data Change Loop	draft	workspace-write	references/workflow-manifests/data-change-loop.json	database,migration,schema,backfill,index,etl	Implement and review schema, migration, and data-workflow changes.
dependency-upgrade-loop	Dependency Upgrade Loop	draft	workspace-write	references/workflow-manifests/dependency-upgrade-loop.json	dependency,package upgrade,lockfile,runtime upgrade,install failure	Manage dependency and runtime changes with compatibility and security gates.
failure-to-eval-loop	Failure To Eval Loop	draft	workspace-write	references/workflow-manifests/failure-to-eval-loop.json	agent failure,prompt regression,eval scenario,workflow failure,skill failure	Turn a repeated agent-system failure into reusable evaluation coverage.
feature-development	Feature Development	stable	workspace-write	references/workflow-manifests/feature-development.json	feature,behavior change,tool capability,ui flow,data workflow	Implement a scoped feature with source, planning, and validation gates.
feature-quality-loop	Feature Quality Loop	stable	workspace-write	references/workflow-manifests/feature-quality-loop.json	tested feature,feature quality,independent review,test strategy,risky feature	Implement a feature with test strategy, independent validation, and review.
github-actions-response	GitHub Actions Response	draft	external-mutation	references/workflow-manifests/github-actions-response.json	github actions,required check,ruleset,branch protection,github ci	Diagnose GitHub Actions and required-check failures with guarded updates.
github-issue-to-pr	GitHub Issue To PR	draft	external-mutation	references/workflow-manifests/github-issue-to-pr.json	github issue,issue to pr,implement issue	Turn a GitHub issue into implementation and a traceable PR.
github-pr-lifecycle	GitHub PR Lifecycle	draft	external-mutation	references/workflow-manifests/github-pr-lifecycle.json	github pull request,github pr,auto-merge,merge pr	Operate an authorized GitHub pull-request lifecycle.
model-methodology-documentation	Model Methodology Documentation	draft	workspace-write	references/workflow-manifests/model-methodology-documentation.json	model methodology,model documentation,validation memo,model development memo	Draft evidence-backed technical model documentation for human review.
pull-request-review	Pull Request Review	stable	read-only	references/workflow-manifests/pull-request-review.json	pull request review,review diff,review branch,patch review,code review	Review a concrete change set and produce an evidence-based recommendation.
release-gate-loop	Release Gate Loop	draft	validation-only	references/workflow-manifests/release-gate-loop.json	release gate,release candidate,deploy gate,publish gate	Run independent release validation, documentation, security, and readiness gates.
release-prep	Release Preparation	stable	workspace-write	references/workflow-manifests/release-prep.json	release prep,prepare release,publish,deploy,tag,package	Prepare a release candidate and its review-ready evidence.
