name	category	maturity	source	license	harnesses	upstream_repo	upstream_ref	upstream_path	import_mode	description
agent-workflow-design	agent-orchestration	stable	first-party	MIT	codex,claude-code,opencode	none	none	none	original	Design repeatable AI coding-agent workflows, handoffs, validation loops, and skill sets.
agent-evaluation	agent-orchestration	draft	first-party	MIT	codex,claude-code,opencode	none	none	none	original	Evaluate AI coding-agent behavior against repeatable tasks, rubrics, expected artifacts, and validation gates.
api-backend-development	implementation	stable	first-party	MIT	codex,claude-code,opencode	none	none	none	original	Build or modify backend APIs, services, handlers, jobs, and server-side contracts.
api-contract-testing	quality	draft	first-party	MIT	codex,claude-code,opencode	none	none	none	original	Verify API contracts, schemas, compatibility, and consumer-provider expectations.
architecture-review	review	stable	first-party	MIT	codex,claude-code,opencode	none	none	none	original	Review architecture, module boundaries, coupling, data flow, and design tradeoffs.
azure-boards-work-item-management	delivery	draft	first-party	MIT	codex,claude-code,opencode	none	none	none	original	Create, update, link, and summarize Azure Boards work items for traceable delivery.
azure-devops-pr-lifecycle	delivery	draft	first-party	MIT	codex,claude-code,opencode	none	none	none	original	Operate Azure DevOps pull requests through guarded git and Azure CLI lifecycle steps.
azure-pipelines-validation	delivery	draft	first-party	MIT	codex,claude-code,opencode	none	none	none	original	Inspect Azure Pipelines and branch-policy validation for PR and release decisions.
caveman	conversation	stable	third-party	MIT	codex,claude-code,opencode	not-recorded	not-recorded	not-recorded	imported	Switch to ultra-compressed communication while preserving technical accuracy.
ci-cd-pipeline-maintenance	delivery	draft	first-party	MIT	codex,claude-code,opencode	none	none	none	original	Maintain CI/CD pipelines, workflows, caches, gates, artifacts, and deployment checks.
code-review-and-quality	review	stable	first-party	MIT	codex,claude-code,opencode	none	none	none	original	Review software changes for correctness, maintainability, regressions, and delivery risk.
context-engineering	context	stable	first-party	MIT	codex,claude-code,opencode	none	none	none	original	Gather, compress, refresh, and preserve working context for agentic software tasks.
database-data-workflow-development	implementation	stable	first-party	MIT	codex,claude-code,opencode	none	none	none	original	Develop database, migration, query, seed, ETL, reporting, and data workflow changes.
debugging-and-error-recovery	diagnosis	stable	first-party	MIT	codex,claude-code,opencode	none	none	none	original	Reproduce, isolate, fix, and verify failing software behavior.
dependency-environment-management	environment	stable	first-party	MIT	codex,claude-code,opencode	none	none	none	original	Manage dependencies, package managers, runtime versions, lockfiles, and setup drift.
diagnose	diagnosis	stable	third-party	MIT	codex,claude-code,opencode	not-recorded	not-recorded	not-recorded	imported	Run an intensive diagnosis loop for hard bugs, flaky failures, and performance regressions.
documentation-and-adrs	delivery	stable	first-party	MIT	codex,claude-code,opencode	none	none	none	original	Create or update developer documentation and architecture decision records.
error-message-triage	diagnosis	stable	first-party	MIT	codex,claude-code,opencode	none	none	none	original	Classify noisy compiler, test, install, linter, type-check, and runtime errors.
